hotel_name,class_of_rating,rating,num_reviews
One-Bedroom on Elko Street Apt 8,N/A,N/A,N/A
Beech Glen Street 3BR/2BA,N/A,N/A,N/A
Evolve Suites Back Bay,Very Good,8.2,175
Courtyard Boston-South Boston,Very Good,8.4,333
Evolve Fenway Diamond,Very Good,8.1,430
Global Luxury Suites at Boston Common,Excellent,8.9,12
Two-Bedroom on Hamilton Place Apt 302,N/A,N/A,N/A
Studio on Washington Street Apt 203,N/A,N/A,N/A
Two-Bedroom on Milk Street Apt 5A,Awesome,9.2,5
Historic Apartment with Private Entry,N/A,N/A,N/A
Two-Bedroom on D Street Apt 136,Good,7.7,5
102 Chandler Street #1 by Lyon Apartments,Very Good,8.0,15
The Langham Boston,Awesome,9.0,805
Apartments on Harrison Avenue,Excellent,8.6,72
Three-Bedroom on Hamilton Place Apt 405,N/A,N/A,N/A
Three-Bedroom on South Street Apt 5,N/A,N/A,N/A
Hilton Boston Downtown/Faneuil Hall,Very Good,8.5,711
Two-Bedroom on Arch Street Apt 5C,Good,7.9,8
Best Boston Location 2BR (M2),N/A,N/A,N/A
Element Boston Seaport by Westin,Excellent,8.9,156
Studio on Washington Street Apt 502,N/A,N/A,N/A
HI - Boston Hostel,Excellent,8.7,5651
Cherrywood on Beacon Hill,N/A,N/A,N/A
12 Mt. Vernon Street by Short Term Rentals Boston,Very Good,8.5,11
Bluebird Suites Near South Station,N/A,N/A,N/A
One-Bedroom on Boylston Street Apt 603,Excellent,8.9,5
Apartments on Newbury Street,Very Good,8.2,10
Spacious Modern Bedroom,N/A,N/A,N/A
Spacious Modern Bedroom,N/A,N/A,N/A
West Broadway Quarters by Short Term Rentals Boston,Good,7.8,693
Two-Bedroom on Western Avenue Apt S - 402,N/A,N/A,N/A
Oasis Guest House,Very Good,8.2,338
One-Bedroom on Washington Street Apt 306,N/A,N/A,N/A
One-Bedroom on Western Avenue Apt S - 418,N/A,N/A,N/A
Holiday Inn Express Boston,Very Good,8.0,497
Studio on Arch Street Apt 3A,N/A,N/A,N/A
Two-Bedroom on Union Park Street Apt 2,N/A,N/A,N/A
The Ledder House,Excellent,8.6,6
One-Bedroom on Brainerd Road Apt 27,N/A,N/A,N/A
Apartments on Washington Street,Very Good,8.2,20
One-Bedroom on Beacon Street Apt 206,N/A,N/A,N/A
One-Bedroom on Brookline Avenue Apt 1508,N/A,N/A,N/A
Two-Bedroom on D Street Apt 106,N/A,N/A,N/A
The Michelle 4,N/A,N/A,N/A
Residence Inn by Marriott Boston Back Bay/Fenway,Awesome,9.0,316
Boston Common Hotel Copley Square,Review score,6.6,479
Studio on Arch Street Apt 3E,Very Good,8.0,10
Two-Bedroom on Tremont Street Apt 402,N/A,N/A,N/A
Evolve East Boston,Good,7.8,297
Modern Brighton Getaway,N/A,N/A,N/A
Two-Bedroom on D Street Apt 158,N/A,N/A,N/A
The Inn at Longwood Medical,Good,7.8,333
304 Newbury Street by Short Term Rentals Boston,Very Good,8.0,52
The Michelle 3,N/A,N/A,N/A
Studio on Arch Street Apt 2E,N/A,N/A,N/A
Studio on Beacon Street Apt 14,N/A,N/A,N/A
Best Boston Location 2BR (M#4),N/A,N/A,N/A
Penthouse at Upham's Corner Condo,N/A,N/A,N/A
Best Boston Location 2BR (M#4),N/A,N/A,N/A
Penthouse at Upham's Corner Condo,N/A,N/A,N/A
One-Bedroom on Warrenton Street Apt 14,N/A,N/A,N/A
One-Bedroom on Chestnut Hill Avenue Apt 15,N/A,N/A,N/A
Two-Bedroom on Hamilton Place Apt 503,N/A,N/A,N/A
Studio on Arch Street Apt 2B,Good,7.1,6
Four-Bedroom on Hamilton Place Apt 407,N/A,N/A,N/A
Two-Bedroom on E Springfield Street Apt 3,N/A,N/A,N/A
One-Bedroom on East Springfield Street Apt B,N/A,N/A,N/A
One-Bedroom on D Street Apt 323,N/A,N/A,N/A
Gorgeous 2 Bedroom Apartment by Boston University and Private Parking,N/A,N/A,N/A
Archstone Modernity,N/A,N/A,N/A
Two-Bedroom on Hamilton Place Apt 301,N/A,N/A,N/A
463 Beacon Street Guest House,Review score,6.7,942
Kimpton Onyx Hotel,Very Good,8.5,829
Renaissance Boston Waterfront Hotel,Excellent,8.6,390
